epoch,time,train_mse,train_l2,test_l2,learning_rate
0,2.79,0.101743,0.569883,0.190295,0.000100
Best model saved at epoch,0,with test_l2,0.190295
1,1.71,0.005530,0.111226,0.069506,0.000100
Best model saved at epoch,1,with test_l2,0.069506
2,1.70,0.002239,0.058318,0.046176,0.000100
Best model saved at epoch,2,with test_l2,0.046176
3,1.71,0.001477,0.042947,0.036669,0.000100
Best model saved at epoch,3,with test_l2,0.036669
4,1.66,0.001093,0.035831,0.032735,0.000100
Best model saved at epoch,4,with test_l2,0.032735
5,1.65,0.000879,0.031497,0.027370,0.000100
Best model saved at epoch,5,with test_l2,0.027370
6,1.71,0.000717,0.027210,0.025039,0.000100
Best model saved at epoch,6,with test_l2,0.025039
7,1.72,0.000601,0.025295,0.025547,0.000100
8,1.69,0.000509,0.023149,0.022733,0.000100
Best model saved at epoch,8,with test_l2,0.022733
9,1.71,0.000440,0.020856,0.020799,0.000100
Best model saved at epoch,9,with test_l2,0.020799
10,1.70,0.000396,0.020354,0.018087,0.000100
Best model saved at epoch,10,with test_l2,0.018087
11,1.72,0.000378,0.021553,0.017187,0.000100
Best model saved at epoch,11,with test_l2,0.017187
12,1.71,0.000329,0.020103,0.016693,0.000100
Best model saved at epoch,12,with test_l2,0.016693
13,1.72,0.000298,0.017646,0.015053,0.000100
Best model saved at epoch,13,with test_l2,0.015053
14,1.71,0.000279,0.017805,0.014230,0.000100
Best model saved at epoch,14,with test_l2,0.014230
15,1.72,0.000263,0.017478,0.016248,0.000100
16,1.72,0.000242,0.016368,0.014337,0.000100
17,1.71,0.000220,0.016037,0.016350,0.000100
18,1.64,0.000234,0.017784,0.016048,0.000100
19,1.65,0.000212,0.017281,0.014145,0.000100
Best model saved at epoch,19,with test_l2,0.014145
20,1.71,0.000200,0.016383,0.018788,0.000100
21,1.71,0.000188,0.015960,0.015153,0.000100
22,1.72,0.000181,0.015027,0.014042,0.000100
Best model saved at epoch,22,with test_l2,0.014042
23,1.72,0.000164,0.013904,0.012891,0.000100
Best model saved at epoch,23,with test_l2,0.012891
24,1.72,0.000164,0.014738,0.010765,0.000100
Best model saved at epoch,24,with test_l2,0.010765
25,1.73,0.000155,0.014610,0.013086,0.000100
26,1.73,0.000137,0.012364,0.010486,0.000100
Best model saved at epoch,26,with test_l2,0.010486
27,1.72,0.000129,0.012600,0.011723,0.000100
28,1.71,0.000123,0.012972,0.014452,0.000100
29,1.70,0.000128,0.013340,0.009297,0.000100
Best model saved at epoch,29,with test_l2,0.009297
30,1.72,0.000107,0.011029,0.009705,0.000100
31,1.72,0.000107,0.011339,0.010332,0.000100
32,1.63,0.000108,0.012006,0.011591,0.000100
33,1.72,0.000099,0.011251,0.010471,0.000100
34,1.73,0.000097,0.011557,0.013979,0.000100
35,1.73,0.000094,0.012041,0.008883,0.000100
Best model saved at epoch,35,with test_l2,0.008883
36,1.73,0.000108,0.012887,0.010185,0.000100
37,1.72,0.000081,0.009937,0.008871,0.000100
Best model saved at epoch,37,with test_l2,0.008871
38,1.71,0.000085,0.010399,0.017575,0.000100
39,1.71,0.000092,0.011693,0.009652,0.000100
40,1.72,0.000076,0.011304,0.008151,0.000100
Best model saved at epoch,40,with test_l2,0.008151
41,1.72,0.000068,0.009579,0.008487,0.000100
42,1.71,0.000087,0.012412,0.010120,0.000100
43,1.73,0.000071,0.010139,0.007821,0.000100
Best model saved at epoch,43,with test_l2,0.007821
44,1.74,0.000066,0.009399,0.008392,0.000100
45,1.69,0.000068,0.009789,0.007714,0.000100
Best model saved at epoch,45,with test_l2,0.007714
46,1.67,0.000082,0.012264,0.007885,0.000100
47,1.72,0.000057,0.008484,0.009822,0.000100
48,1.73,0.000061,0.009149,0.007550,0.000100
Best model saved at epoch,48,with test_l2,0.007550
49,1.73,0.000067,0.010474,0.007415,0.000050
Best model saved at epoch,49,with test_l2,0.007415
50,1.72,0.000048,0.007667,0.006944,0.000050
Best model saved at epoch,50,with test_l2,0.006944
51,1.71,0.000048,0.007438,0.007530,0.000050
52,1.71,0.000046,0.007179,0.007900,0.000050
53,1.71,0.000047,0.007662,0.006663,0.000050
Best model saved at epoch,53,with test_l2,0.006663
54,1.72,0.000046,0.007435,0.007066,0.000050
55,1.71,0.000047,0.007758,0.006693,0.000050
56,1.71,0.000044,0.007114,0.006850,0.000050
57,1.72,0.000044,0.007378,0.008721,0.000050
58,1.72,0.000045,0.007800,0.006636,0.000050
Best model saved at epoch,58,with test_l2,0.006636
59,1.65,0.000043,0.007004,0.007399,0.000050
60,1.72,0.000041,0.007112,0.006370,0.000050
Best model saved at epoch,60,with test_l2,0.006370
61,1.73,0.000040,0.006865,0.006906,0.000050
62,1.71,0.000040,0.007181,0.006174,0.000050
Best model saved at epoch,62,with test_l2,0.006174
63,1.72,0.000042,0.007591,0.007544,0.000050
64,1.73,0.000042,0.007652,0.006877,0.000050
65,1.72,0.000039,0.006943,0.006401,0.000050
66,1.71,0.000039,0.007058,0.006159,0.000050
Best model saved at epoch,66,with test_l2,0.006159
67,1.73,0.000037,0.006634,0.005996,0.000050
Best model saved at epoch,67,with test_l2,0.005996
68,1.72,0.000039,0.007304,0.008070,0.000050
69,1.71,0.000039,0.007569,0.005993,0.000050
Best model saved at epoch,69,with test_l2,0.005993
70,1.72,0.000036,0.006894,0.007428,0.000050
71,1.72,0.000035,0.006920,0.006105,0.000050
72,1.66,0.000034,0.006625,0.006142,0.000050
73,1.66,0.000035,0.006762,0.006533,0.000050
74,1.72,0.000034,0.006771,0.006954,0.000050
75,1.72,0.000035,0.007160,0.006025,0.000050
76,1.71,0.000032,0.006262,0.005666,0.000050
Best model saved at epoch,76,with test_l2,0.005666
77,1.70,0.000032,0.006243,0.006513,0.000050
78,1.71,0.000034,0.006719,0.007521,0.000050
79,1.71,0.000034,0.007391,0.006235,0.000050
80,1.72,0.000030,0.005932,0.005939,0.000050
81,1.71,0.000031,0.006271,0.007343,0.000050
82,1.72,0.000033,0.007421,0.005668,0.000050
83,1.72,0.000029,0.006094,0.005843,0.000050
84,1.71,0.000029,0.006271,0.005506,0.000050
Best model saved at epoch,84,with test_l2,0.005506
85,1.72,0.000028,0.005946,0.005752,0.000050
86,1.64,0.000027,0.005823,0.005268,0.000050
Best model saved at epoch,86,with test_l2,0.005268
87,1.72,0.000027,0.005897,0.005688,0.000050
88,1.72,0.000030,0.007203,0.006472,0.000050
89,1.71,0.000030,0.007213,0.007752,0.000050
90,1.72,0.000032,0.007433,0.005474,0.000050
91,1.72,0.000032,0.007294,0.007667,0.000050
92,1.72,0.000025,0.006152,0.004964,0.000050
Best model saved at epoch,92,with test_l2,0.004964
93,1.73,0.000027,0.006131,0.008088,0.000050
94,1.73,0.000028,0.006827,0.006623,0.000050
95,1.72,0.000028,0.006988,0.006191,0.000050
96,1.73,0.000027,0.007166,0.005051,0.000050
97,1.73,0.000023,0.005340,0.005250,0.000050
98,1.72,0.000023,0.005446,0.006411,0.000050
99,1.69,0.000025,0.006222,0.007192,0.000025
100,1.63,0.000022,0.005312,0.004924,0.000025
Best model saved at epoch,100,with test_l2,0.004924
101,1.73,0.000022,0.004958,0.005615,0.000025
102,1.70,0.000021,0.004888,0.005034,0.000025
103,1.73,0.000021,0.004855,0.004971,0.000025
104,1.72,0.000021,0.004811,0.004704,0.000025
Best model saved at epoch,104,with test_l2,0.004704
105,1.73,0.000021,0.004832,0.004712,0.000025
106,1.72,0.000021,0.004852,0.004937,0.000025
107,1.72,0.000021,0.004863,0.004613,0.000025
Best model saved at epoch,107,with test_l2,0.004613
108,1.71,0.000020,0.004785,0.004829,0.000025
109,1.71,0.000021,0.004848,0.004656,0.000025
110,1.71,0.000020,0.004642,0.004724,0.000025
111,1.71,0.000020,0.004800,0.004698,0.000025
112,1.71,0.000020,0.004728,0.004952,0.000025
113,1.71,0.000020,0.004784,0.004478,0.000025
Best model saved at epoch,113,with test_l2,0.004478
114,1.70,0.000019,0.004635,0.004567,0.000025
115,1.73,0.000019,0.004630,0.004611,0.000025
116,1.73,0.000020,0.004641,0.004397,0.000025
Best model saved at epoch,116,with test_l2,0.004397
117,1.74,0.000020,0.004600,0.004403,0.000025
118,1.72,0.000019,0.004674,0.005375,0.000025
119,1.72,0.000019,0.004830,0.004391,0.000025
Best model saved at epoch,119,with test_l2,0.004391
120,1.72,0.000019,0.004907,0.004507,0.000025
121,1.71,0.000019,0.004572,0.004995,0.000025
122,1.73,0.000019,0.004691,0.004392,0.000025
123,1.71,0.000019,0.004713,0.005198,0.000025
124,1.71,0.000018,0.004609,0.004360,0.000025
Best model saved at epoch,124,with test_l2,0.004360
125,1.72,0.000018,0.004473,0.004221,0.000025
Best model saved at epoch,125,with test_l2,0.004221
126,1.70,0.000018,0.004383,0.004208,0.000025
Best model saved at epoch,126,with test_l2,0.004208
127,1.65,0.000019,0.004733,0.004865,0.000025
128,1.73,0.000019,0.004836,0.005297,0.000025
129,1.73,0.000018,0.004571,0.004306,0.000025
130,1.73,0.000017,0.004228,0.004288,0.000025
131,1.73,0.000018,0.004355,0.004578,0.000025
132,1.73,0.000018,0.004731,0.004617,0.000025
133,1.73,0.000017,0.004504,0.004043,0.000025
Best model saved at epoch,133,with test_l2,0.004043
134,1.73,0.000017,0.004195,0.004461,0.000025
135,1.71,0.000017,0.004362,0.005371,0.000025
136,1.72,0.000017,0.004388,0.004423,0.000025
137,1.73,0.000017,0.004180,0.004582,0.000025
138,1.72,0.000017,0.004289,0.004130,0.000025
139,1.73,0.000017,0.004457,0.004026,0.000025
Best model saved at epoch,139,with test_l2,0.004026
140,1.72,0.000016,0.004129,0.004295,0.000025
141,1.71,0.000018,0.004883,0.005080,0.000025
142,1.72,0.000018,0.004811,0.004244,0.000025
143,1.72,0.000016,0.004166,0.005237,0.000025
144,1.72,0.000017,0.004806,0.004552,0.000025
145,1.72,0.000016,0.004244,0.004190,0.000025
146,1.72,0.000016,0.004109,0.004640,0.000025
147,1.73,0.000017,0.004523,0.003928,0.000025
Best model saved at epoch,147,with test_l2,0.003928
148,1.73,0.000015,0.004003,0.005501,0.000025
149,1.72,0.000017,0.004504,0.004956,0.000013
150,1.73,0.000015,0.004001,0.003823,0.000013
Best model saved at epoch,150,with test_l2,0.003823
151,1.72,0.000015,0.003725,0.003758,0.000013
Best model saved at epoch,151,with test_l2,0.003758
152,1.71,0.000015,0.003725,0.003766,0.000013
153,1.72,0.000015,0.003724,0.003771,0.000013
154,1.64,0.000015,0.003712,0.003736,0.000013
Best model saved at epoch,154,with test_l2,0.003736
155,1.71,0.000015,0.003832,0.003975,0.000013
156,1.72,0.000015,0.003741,0.003790,0.000013
157,1.73,0.000015,0.003696,0.003714,0.000013
Best model saved at epoch,157,with test_l2,0.003714
158,1.73,0.000015,0.003641,0.003674,0.000013
Best model saved at epoch,158,with test_l2,0.003674
159,1.72,0.000014,0.003632,0.003671,0.000013
Best model saved at epoch,159,with test_l2,0.003671
160,1.72,0.000014,0.003673,0.003826,0.000013
161,1.71,0.000014,0.003584,0.003645,0.000013
Best model saved at epoch,161,with test_l2,0.003645
162,1.74,0.000014,0.003587,0.003724,0.000013
163,1.72,0.000014,0.003648,0.003633,0.000013
Best model saved at epoch,163,with test_l2,0.003633
164,1.73,0.000014,0.003767,0.003709,0.000013
165,1.72,0.000014,0.003586,0.003585,0.000013
Best model saved at epoch,165,with test_l2,0.003585
166,1.72,0.000014,0.003570,0.003583,0.000013
Best model saved at epoch,166,with test_l2,0.003583
167,1.64,0.000014,0.003689,0.003634,0.000013
168,1.67,0.000014,0.003617,0.003657,0.000013
169,1.72,0.000014,0.003579,0.003596,0.000013
170,1.70,0.000014,0.003591,0.003560,0.000013
Best model saved at epoch,170,with test_l2,0.003560
171,1.72,0.000014,0.003572,0.003602,0.000013
172,1.71,0.000013,0.003497,0.003544,0.000013
Best model saved at epoch,172,with test_l2,0.003544
173,1.72,0.000014,0.003517,0.003784,0.000013
174,1.71,0.000014,0.003612,0.003893,0.000013
175,1.72,0.000014,0.003586,0.003559,0.000013
176,1.72,0.000014,0.003570,0.003532,0.000013
Best model saved at epoch,176,with test_l2,0.003532
177,1.73,0.000014,0.003538,0.003482,0.000013
Best model saved at epoch,177,with test_l2,0.003482
178,1.74,0.000014,0.003453,0.003434,0.000013
Best model saved at epoch,178,with test_l2,0.003434
179,1.74,0.000013,0.003406,0.003516,0.000013
180,1.73,0.000014,0.003529,0.003717,0.000013
181,1.68,0.000013,0.003470,0.003719,0.000013
182,1.73,0.000013,0.003495,0.003623,0.000013
183,1.73,0.000013,0.003441,0.003417,0.000013
Best model saved at epoch,183,with test_l2,0.003417
184,1.73,0.000013,0.003455,0.003476,0.000013
185,1.72,0.000014,0.003572,0.003643,0.000013
186,1.73,0.000013,0.003352,0.003493,0.000013
187,1.72,0.000013,0.003357,0.003344,0.000013
Best model saved at epoch,187,with test_l2,0.003344
188,1.73,0.000013,0.003334,0.003395,0.000013
189,1.72,0.000013,0.003378,0.003391,0.000013
190,1.72,0.000013,0.003371,0.003784,0.000013
191,1.71,0.000013,0.003369,0.003328,0.000013
Best model saved at epoch,191,with test_l2,0.003328
192,1.73,0.000013,0.003339,0.003430,0.000013
193,1.72,0.000013,0.003284,0.003506,0.000013
194,1.67,0.000013,0.003277,0.003237,0.000013
Best model saved at epoch,194,with test_l2,0.003237
195,1.61,0.000013,0.003314,0.003513,0.000013
196,1.71,0.000013,0.003529,0.003792,0.000013
197,1.73,0.000013,0.003367,0.003613,0.000013
198,1.72,0.000012,0.003261,0.003268,0.000013
199,1.71,0.000012,0.003295,0.003417,0.000006
200,1.73,0.000012,0.003182,0.003320,0.000006
201,1.73,0.000012,0.003108,0.003187,0.000006
Best model saved at epoch,201,with test_l2,0.003187
202,1.72,0.000012,0.003088,0.003171,0.000006
Best model saved at epoch,202,with test_l2,0.003171
203,1.73,0.000012,0.003085,0.003237,0.000006
204,1.73,0.000012,0.003169,0.003188,0.000006
205,1.72,0.000012,0.003102,0.003308,0.000006
206,1.72,0.000012,0.003085,0.003195,0.000006
207,1.71,0.000012,0.003075,0.003168,0.000006
Best model saved at epoch,207,with test_l2,0.003168
208,1.63,0.000012,0.003054,0.003138,0.000006
Best model saved at epoch,208,with test_l2,0.003138
209,1.70,0.000012,0.003052,0.003227,0.000006
210,1.72,0.000012,0.003030,0.003194,0.000006
211,1.72,0.000012,0.003029,0.003168,0.000006
212,1.72,0.000012,0.003066,0.003364,0.000006
213,1.72,0.000012,0.003075,0.003154,0.000006
214,1.73,0.000012,0.003025,0.003214,0.000006
215,1.71,0.000012,0.003049,0.003185,0.000006
216,1.71,0.000012,0.003007,0.003132,0.000006
Best model saved at epoch,216,with test_l2,0.003132
217,1.72,0.000012,0.003019,0.003275,0.000006
218,1.72,0.000012,0.003057,0.003230,0.000006
219,1.72,0.000012,0.002998,0.003129,0.000006
Best model saved at epoch,219,with test_l2,0.003129
220,1.73,0.000012,0.003023,0.003149,0.000006
221,1.70,0.000012,0.003008,0.003133,0.000006
222,1.68,0.000012,0.002966,0.003103,0.000006
