epoch,time,train_mse,train_l2,test_l2,learning_rate
76,27.36,0.004396,0.035549,0.043522,0.001000
Best model saved at epoch,76,with test_l2,0.043522
77,24.68,0.004386,0.035598,0.043937,0.001000
78,26.38,0.004660,0.036983,0.044633,0.001000
79,27.60,0.004828,0.037319,0.043259,0.001000
Best model saved at epoch,79,with test_l2,0.043259
80,24.80,0.004723,0.036961,0.053416,0.001000
81,24.75,0.004579,0.036340,0.042404,0.001000
Best model saved at epoch,81,with test_l2,0.042404
82,25.41,0.004101,0.034199,0.042322,0.001000
Best model saved at epoch,82,with test_l2,0.042322
83,24.50,0.004201,0.034814,0.042073,0.001000
Best model saved at epoch,83,with test_l2,0.042073
84,24.48,0.004138,0.034616,0.042983,0.001000
85,27.49,0.004309,0.035411,0.041503,0.001000
Best model saved at epoch,85,with test_l2,0.041503
86,24.34,0.003997,0.033848,0.040874,0.001000
Best model saved at epoch,86,with test_l2,0.040874
87,24.41,0.003851,0.033045,0.040890,0.001000
88,23.91,0.003917,0.033475,0.042093,0.001000
89,24.29,0.003797,0.032948,0.040419,0.001000
Best model saved at epoch,89,with test_l2,0.040419
90,24.48,0.003761,0.032758,0.042083,0.001000
91,24.36,0.003961,0.033731,0.042772,0.001000
92,24.14,0.003695,0.032458,0.040416,0.001000
Best model saved at epoch,92,with test_l2,0.040416
93,23.96,0.003867,0.033334,0.040845,0.001000
94,24.41,0.003588,0.031921,0.039692,0.001000
Best model saved at epoch,94,with test_l2,0.039692
95,24.22,0.003793,0.032705,0.039513,0.001000
Best model saved at epoch,95,with test_l2,0.039513
96,27.23,0.003547,0.031885,0.041001,0.001000
97,27.47,0.003486,0.031447,0.038554,0.001000
Best model saved at epoch,97,with test_l2,0.038554
98,24.48,0.003500,0.031593,0.040301,0.001000
99,27.20,0.003549,0.031906,0.040374,0.000500
100,27.02,0.003094,0.029359,0.036797,0.000500
Best model saved at epoch,100,with test_l2,0.036797
101,24.51,0.002885,0.028145,0.036977,0.000500
102,27.33,0.002807,0.027658,0.036518,0.000500
Best model saved at epoch,102,with test_l2,0.036518
103,24.70,0.002825,0.027768,0.036620,0.000500
104,27.17,0.002748,0.027349,0.036605,0.000500
105,24.25,0.002797,0.027637,0.036513,0.000500
Best model saved at epoch,105,with test_l2,0.036513
106,27.09,0.002723,0.027269,0.036076,0.000500
Best model saved at epoch,106,with test_l2,0.036076
107,24.32,0.002701,0.027121,0.036139,0.000500
108,26.00,0.002669,0.026926,0.036553,0.000500
109,27.18,0.002749,0.027469,0.036056,0.000500
Best model saved at epoch,109,with test_l2,0.036056
110,24.81,0.002706,0.027178,0.036124,0.000500
111,25.55,0.002669,0.027032,0.035384,0.000500
Best model saved at epoch,111,with test_l2,0.035384
112,26.24,0.002608,0.026571,0.035860,0.000500
113,24.86,0.002576,0.026495,0.035257,0.000500
Best model saved at epoch,113,with test_l2,0.035257
114,24.12,0.002595,0.026576,0.036120,0.000500
115,24.79,0.002701,0.027351,0.035765,0.000500
116,24.64,0.002671,0.027197,0.035587,0.000500
