epoch,time,train_mse,train_l2,test_l2,learning_rate
95,1.24,0.000012,0.005094,0.005205,0.000050
Best model saved at epoch,95,with test_l2,0.005205
96,1.24,0.000013,0.005232,0.004635,0.000050
Best model saved at epoch,96,with test_l2,0.004635
97,1.26,0.000015,0.006300,0.007249,0.000050
98,1.25,0.000015,0.006523,0.005893,0.000050
99,1.24,0.000011,0.005200,0.006105,0.000025
100,1.24,0.000010,0.004674,0.004672,0.000025
101,1.24,0.000010,0.004439,0.004479,0.000025
Best model saved at epoch,101,with test_l2,0.004479
102,1.24,0.000009,0.004410,0.004621,0.000025
103,1.24,0.000009,0.004439,0.004467,0.000025
Best model saved at epoch,103,with test_l2,0.004467
104,1.24,0.000010,0.004362,0.004299,0.000025
Best model saved at epoch,104,with test_l2,0.004299
105,1.24,0.000009,0.004386,0.004454,0.000025
106,1.25,0.000009,0.004411,0.004331,0.000025
107,1.24,0.000010,0.004435,0.004542,0.000025
108,1.24,0.000010,0.004507,0.004272,0.000025
Best model saved at epoch,108,with test_l2,0.004272
109,1.25,0.000009,0.004388,0.004632,0.000025
110,1.25,0.000009,0.004487,0.004585,0.000025
111,1.26,0.000009,0.004244,0.004248,0.000025
Best model saved at epoch,111,with test_l2,0.004248
112,1.24,0.000009,0.004376,0.004467,0.000025
113,1.24,0.000009,0.004354,0.004341,0.000025
114,1.24,0.000009,0.004300,0.004403,0.000025
115,1.24,0.000009,0.004352,0.004805,0.000025
116,1.27,0.000009,0.004174,0.004173,0.000025
Best model saved at epoch,116,with test_l2,0.004173
117,1.26,0.000009,0.004352,0.004804,0.000025
118,1.24,0.000010,0.004647,0.004508,0.000025
119,1.24,0.000009,0.004283,0.004476,0.000025
120,1.24,0.000008,0.004185,0.004615,0.000025
121,1.25,0.000008,0.004076,0.004239,0.000025
122,1.24,0.000008,0.004050,0.003974,0.000025
Best model saved at epoch,122,with test_l2,0.003974
123,1.26,0.000008,0.004294,0.004496,0.000025
124,1.23,0.000008,0.003950,0.003841,0.000025
Best model saved at epoch,124,with test_l2,0.003841
125,1.25,0.000008,0.004219,0.004720,0.000025
126,1.24,0.000010,0.004783,0.005502,0.000025
127,1.24,0.000009,0.004609,0.003964,0.000025
128,1.25,0.000008,0.003920,0.003943,0.000025
129,1.26,0.000008,0.003926,0.004456,0.000025
130,1.24,0.000008,0.004451,0.003720,0.000025
Best model saved at epoch,130,with test_l2,0.003720
131,1.25,0.000008,0.003867,0.003794,0.000025
132,1.24,0.000008,0.004304,0.006208,0.000025
133,1.25,0.000008,0.004266,0.005100,0.000025
134,1.24,0.000008,0.004552,0.004527,0.000025
135,1.24,0.000008,0.004352,0.003705,0.000025
Best model saved at epoch,135,with test_l2,0.003705
136,1.25,0.000007,0.003803,0.003893,0.000025
137,1.26,0.000008,0.004314,0.004028,0.000025
138,1.25,0.000007,0.003774,0.003947,0.000025
139,1.24,0.000007,0.003772,0.003727,0.000025
140,1.23,0.000007,0.003728,0.003687,0.000025
Best model saved at epoch,140,with test_l2,0.003687
141,1.26,0.000007,0.003696,0.003546,0.000025
Best model saved at epoch,141,with test_l2,0.003546
142,1.27,0.000007,0.003579,0.003571,0.000025
143,1.24,0.000007,0.003649,0.003692,0.000025
144,1.25,0.000007,0.003684,0.004428,0.000025
145,1.27,0.000007,0.003770,0.004367,0.000025
146,1.27,0.000007,0.003649,0.003843,0.000025
147,1.24,0.000006,0.003544,0.004175,0.000025
148,1.24,0.000006,0.003471,0.003446,0.000025
Best model saved at epoch,148,with test_l2,0.003446
149,1.27,0.000007,0.003601,0.003668,0.000013
150,1.25,0.000006,0.003243,0.003354,0.000013
Best model saved at epoch,150,with test_l2,0.003354
151,1.24,0.000006,0.003200,0.003405,0.000013
152,1.24,0.000006,0.003229,0.003387,0.000013
153,1.25,0.000006,0.003181,0.003309,0.000013
Best model saved at epoch,153,with test_l2,0.003309
154,1.27,0.000006,0.003155,0.003339,0.000013
155,1.24,0.000006,0.003242,0.003517,0.000013
156,1.24,0.000006,0.003165,0.003340,0.000013
157,1.25,0.000006,0.003212,0.003320,0.000013
158,1.24,0.000006,0.003101,0.003305,0.000013
Best model saved at epoch,158,with test_l2,0.003305
159,1.26,0.000006,0.003134,0.003468,0.000013
160,1.25,0.000006,0.003260,0.003211,0.000013
Best model saved at epoch,160,with test_l2,0.003211
161,1.25,0.000006,0.003132,0.003270,0.000013
162,1.25,0.000006,0.003089,0.003251,0.000013
163,1.24,0.000005,0.003081,0.003273,0.000013
164,1.24,0.000006,0.003041,0.003335,0.000013
165,1.24,0.000006,0.003144,0.003257,0.000013
166,1.24,0.000005,0.003052,0.003277,0.000013
167,1.24,0.000006,0.003038,0.003128,0.000013
Best model saved at epoch,167,with test_l2,0.003128
168,1.24,0.000006,0.003040,0.003148,0.000013
169,1.24,0.000005,0.003073,0.003407,0.000013
170,1.24,0.000005,0.002984,0.003192,0.000013
171,1.23,0.000005,0.003031,0.003468,0.000013
172,1.24,0.000006,0.003180,0.003293,0.000013
173,1.27,0.000005,0.002970,0.003419,0.000013
174,1.24,0.000005,0.002967,0.003050,0.000013
Best model saved at epoch,174,with test_l2,0.003050
175,1.23,0.000005,0.002915,0.003032,0.000013
Best model saved at epoch,175,with test_l2,0.003032
176,1.24,0.000005,0.002912,0.003079,0.000013
177,1.25,0.000005,0.002976,0.003243,0.000013
178,1.27,0.000005,0.002990,0.003033,0.000013
179,1.24,0.000005,0.002899,0.003018,0.000013
Best model saved at epoch,179,with test_l2,0.003018
180,1.24,0.000005,0.002953,0.003147,0.000013
181,1.24,0.000005,0.002860,0.003099,0.000013
182,1.24,0.000005,0.002860,0.003298,0.000013
183,1.24,0.000005,0.003067,0.003137,0.000013
184,1.23,0.000005,0.002861,0.003089,0.000013
185,1.26,0.000005,0.002792,0.003038,0.000013
186,1.24,0.000005,0.002994,0.003135,0.000013
187,1.25,0.000005,0.003000,0.002950,0.000013
Best model saved at epoch,187,with test_l2,0.002950
188,1.25,0.000005,0.002775,0.002911,0.000013
Best model saved at epoch,188,with test_l2,0.002911
189,1.25,0.000005,0.002745,0.003098,0.000013
190,1.25,0.000005,0.002879,0.002981,0.000013
191,1.24,0.000005,0.002885,0.002881,0.000013
Best model saved at epoch,191,with test_l2,0.002881
192,1.24,0.000005,0.002677,0.002852,0.000013
Best model saved at epoch,192,with test_l2,0.002852
193,1.25,0.000005,0.002849,0.003196,0.000013
194,1.24,0.000005,0.002909,0.003177,0.000013
195,1.25,0.000005,0.002905,0.003089,0.000013
196,1.24,0.000005,0.002737,0.002981,0.000013
197,1.24,0.000005,0.002792,0.002893,0.000013
198,1.26,0.000005,0.002622,0.002876,0.000013
199,1.24,0.000005,0.002693,0.003139,0.000006
200,1.24,0.000005,0.002585,0.002758,0.000006
Best model saved at epoch,200,with test_l2,0.002758
201,1.25,0.000004,0.002500,0.002732,0.000006
Best model saved at epoch,201,with test_l2,0.002732
202,1.24,0.000004,0.002474,0.002751,0.000006
203,1.24,0.000004,0.002459,0.002726,0.000006
Best model saved at epoch,203,with test_l2,0.002726
204,1.26,0.000004,0.002457,0.002699,0.000006
Best model saved at epoch,204,with test_l2,0.002699
205,1.25,0.000004,0.002506,0.002874,0.000006
206,1.25,0.000004,0.002457,0.002768,0.000006
207,1.25,0.000004,0.002426,0.002695,0.000006
Best model saved at epoch,207,with test_l2,0.002695
208,1.25,0.000004,0.002426,0.002728,0.000006
209,1.25,0.000004,0.002441,0.002767,0.000006
210,1.26,0.000004,0.002449,0.002800,0.000006
211,1.26,0.000004,0.002465,0.002705,0.000006
212,1.26,0.000004,0.002416,0.002772,0.000006
213,1.27,0.000004,0.002459,0.002669,0.000006
Best model saved at epoch,213,with test_l2,0.002669
214,1.25,0.000004,0.002384,0.002664,0.000006
Best model saved at epoch,214,with test_l2,0.002664
215,1.26,0.000004,0.002418,0.002899,0.000006
216,1.26,0.000004,0.002424,0.002619,0.000006
Best model saved at epoch,216,with test_l2,0.002619
217,1.26,0.000004,0.002417,0.002676,0.000006
218,1.24,0.000004,0.002370,0.002684,0.000006
219,1.24,0.000004,0.002361,0.002697,0.000006
220,1.24,0.000004,0.002409,0.002686,0.000006
221,1.25,0.000004,0.002358,0.002627,0.000006
222,1.25,0.000004,0.002367,0.002614,0.000006
Best model saved at epoch,222,with test_l2,0.002614
223,1.25,0.000004,0.002337,0.002648,0.000006
224,1.24,0.000004,0.002359,0.002723,0.000006
225,1.27,0.000004,0.002331,0.002567,0.000006
Best model saved at epoch,225,with test_l2,0.002567
226,1.25,0.000004,0.002317,0.002689,0.000006
227,1.26,0.000004,0.002415,0.002656,0.000006
228,1.26,0.000004,0.002374,0.002641,0.000006
229,1.27,0.000004,0.002323,0.002711,0.000006
