epoch,time,train_mse,train_l2,test_l2,learning_rate
60,2.45,8.782189e-08,4.169829e-02,3.915223e-02,1.000000e-03
Best model saved at epoch,60,with test_l2,3.915223e-02
61,2.45,8.361581e-08,4.075193e-02,3.838480e-02,1.000000e-03
Best model saved at epoch,61,with test_l2,3.838480e-02
62,2.46,7.648502e-08,3.906365e-02,3.995160e-02,1.000000e-03
63,2.45,7.726969e-08,3.932635e-02,3.843528e-02,1.000000e-03
64,2.46,7.745279e-08,3.919668e-02,3.748458e-02,1.000000e-03
Best model saved at epoch,64,with test_l2,3.748458e-02
65,2.45,7.004700e-08,3.748671e-02,4.135977e-02,1.000000e-03
66,2.45,6.949690e-08,3.733014e-02,3.694983e-02,1.000000e-03
Best model saved at epoch,66,with test_l2,3.694983e-02
67,2.45,7.078975e-08,3.750324e-02,4.091789e-02,1.000000e-03
68,2.45,7.411895e-08,3.849226e-02,3.765022e-02,1.000000e-03
69,2.45,7.182980e-08,3.791897e-02,4.491073e-02,1.000000e-03
70,2.46,7.080059e-08,3.770142e-02,3.617092e-02,1.000000e-03
Best model saved at epoch,70,with test_l2,3.617092e-02
71,2.46,6.746417e-08,3.665793e-02,4.586208e-02,1.000000e-03
72,2.44,6.740330e-08,3.665387e-02,4.390395e-02,1.000000e-03
73,2.45,6.892192e-08,3.711458e-02,3.552179e-02,1.000000e-03
Best model saved at epoch,73,with test_l2,3.552179e-02
74,2.45,6.424727e-08,3.575170e-02,3.656883e-02,1.000000e-03
75,2.45,6.612002e-08,3.647729e-02,3.910713e-02,1.000000e-03
76,2.44,7.051835e-08,3.722315e-02,3.602691e-02,1.000000e-03
77,2.45,6.995573e-08,3.720556e-02,3.939316e-02,1.000000e-03
78,2.46,6.653072e-08,3.640882e-02,3.557082e-02,1.000000e-03
79,2.45,6.155763e-08,3.518785e-02,3.555659e-02,1.000000e-03
80,2.46,6.318989e-08,3.556442e-02,3.492096e-02,1.000000e-03
Best model saved at epoch,80,with test_l2,3.492096e-02
81,2.46,6.518811e-08,3.617370e-02,4.055446e-02,1.000000e-03
82,2.46,6.902483e-08,3.695285e-02,3.766035e-02,1.000000e-03
83,2.46,5.780897e-08,3.397787e-02,3.746438e-02,1.000000e-03
84,2.46,5.587573e-08,3.347672e-02,3.560027e-02,1.000000e-03
85,2.46,5.897623e-08,3.438927e-02,3.600048e-02,1.000000e-03
86,2.46,6.737385e-08,3.667563e-02,3.648924e-02,1.000000e-03
87,2.46,5.554105e-08,3.346503e-02,3.492977e-02,1.000000e-03
88,2.46,5.785479e-08,3.402073e-02,3.434343e-02,1.000000e-03
Best model saved at epoch,88,with test_l2,3.434343e-02
89,2.46,5.126138e-08,3.215561e-02,3.377076e-02,1.000000e-03
Best model saved at epoch,89,with test_l2,3.377076e-02
90,2.46,5.264507e-08,3.262410e-02,3.412895e-02,1.000000e-03
91,2.46,5.820789e-08,3.414070e-02,3.573039e-02,1.000000e-03
92,2.45,6.441468e-08,3.587022e-02,3.357808e-02,1.000000e-03
Best model saved at epoch,92,with test_l2,3.357808e-02
93,2.45,5.642976e-08,3.372204e-02,3.509652e-02,1.000000e-03
94,2.44,5.793055e-08,3.403960e-02,3.247600e-02,1.000000e-03
Best model saved at epoch,94,with test_l2,3.247600e-02
95,2.45,4.916905e-08,3.137731e-02,3.717737e-02,1.000000e-03
96,2.44,5.026687e-08,3.181622e-02,3.354813e-02,1.000000e-03
97,2.44,4.915571e-08,3.146877e-02,3.261450e-02,1.000000e-03
98,2.44,5.094836e-08,3.198724e-02,3.320340e-02,1.000000e-03
99,2.44,6.166060e-08,3.497552e-02,3.392242e-02,1.000000e-03
100,2.44,6.412824e-08,3.567601e-02,3.193962e-02,1.000000e-03
Best model saved at epoch,100,with test_l2,3.193962e-02
101,2.44,5.391433e-08,3.291628e-02,3.186570e-02,1.000000e-03
Best model saved at epoch,101,with test_l2,3.186570e-02
102,2.44,4.976622e-08,3.152493e-02,3.166660e-02,1.000000e-03
Best model saved at epoch,102,with test_l2,3.166660e-02
103,2.44,4.588811e-08,3.043431e-02,3.253187e-02,1.000000e-03
104,2.45,5.222443e-08,3.236320e-02,3.215856e-02,1.000000e-03
105,2.44,4.828712e-08,3.131099e-02,3.698421e-02,1.000000e-03
106,2.44,5.544528e-08,3.331836e-02,3.452707e-02,1.000000e-03
107,2.44,4.976357e-08,3.157932e-02,3.152245e-02,1.000000e-03
Best model saved at epoch,107,with test_l2,3.152245e-02
108,2.44,4.566844e-08,3.032143e-02,3.190095e-02,1.000000e-03
109,2.44,5.118221e-08,3.208277e-02,3.466590e-02,1.000000e-03
110,2.44,5.612821e-08,3.340778e-02,3.571679e-02,1.000000e-03
111,2.44,4.749242e-08,3.092883e-02,3.002308e-02,1.000000e-03
Best model saved at epoch,111,with test_l2,3.002308e-02
112,2.44,4.417829e-08,2.991915e-02,3.406382e-02,1.000000e-03
113,2.45,4.793685e-08,3.112128e-02,3.174011e-02,1.000000e-03
