epoch,time,train_mse,train_l2,test_l2,learning_rate
0,2.03,0.056362,0.498064,0.425575,0.001000
Best model saved at epoch,0,with test_l2,0.425575
1,1.79,0.046021,0.433508,0.436678,0.001000
2,1.81,0.043075,0.415282,0.440921,0.001000
3,1.79,0.041342,0.408054,0.387135,0.001000
Best model saved at epoch,3,with test_l2,0.387135
4,1.78,0.049522,0.491508,0.373104,0.001000
Best model saved at epoch,4,with test_l2,0.373104
5,1.77,0.036112,0.390560,0.739698,0.001000
6,1.79,0.061573,0.571947,0.391522,0.001000
7,1.81,0.036507,0.396341,0.431201,0.000999
8,1.81,0.047548,0.476055,0.285086,0.000999
Best model saved at epoch,8,with test_l2,0.285086
9,1.81,0.034851,0.376967,0.233988,0.000999
Best model saved at epoch,9,with test_l2,0.233988
10,1.81,0.018808,0.313019,0.277311,0.000999
11,1.80,0.015122,0.274562,0.287710,0.000999
12,1.76,0.014109,0.266752,0.352561,0.000998
13,1.76,0.014575,0.265916,0.329039,0.000998
14,1.75,0.014341,0.270399,0.279028,0.000998
15,1.83,0.011050,0.240282,0.284307,0.000998
16,1.84,0.019628,0.310220,0.323848,0.000997
17,1.87,0.019089,0.299401,0.283376,0.000997
18,1.87,0.023381,0.337973,0.370068,0.000997
19,1.88,0.020259,0.338586,0.191205,0.000996
Best model saved at epoch,19,with test_l2,0.191205
20,1.86,0.015498,0.286976,0.206957,0.000996
21,1.88,0.010591,0.232319,0.226778,0.000996
22,1.88,0.006881,0.190146,0.129413,0.000995
Best model saved at epoch,22,with test_l2,0.129413
23,1.87,0.011657,0.241181,0.322109,0.000995
24,1.87,0.012745,0.251243,0.131580,0.000994
25,1.86,0.011280,0.241310,0.209288,0.000994
26,1.86,0.005959,0.168529,0.137543,0.000994
27,1.87,0.007251,0.193643,0.218899,0.000993
28,1.86,0.013332,0.257457,0.238804,0.000993
29,1.88,0.010131,0.231110,0.157286,0.000992
30,1.87,0.012191,0.258578,0.356285,0.000991
