epoch,time,train_mse,train_l2,test_l2,learning_rate
0,3.16,7.068369e-06,3.669792e-01,1.741313e-01,1.000000e-03
Best model saved at epoch,0,with test_l2,1.741313e-01
1,2.42,9.466778e-07,1.385610e-01,1.210723e-01,1.000000e-03
Best model saved at epoch,1,with test_l2,1.210723e-01
2,2.42,6.531962e-07,1.141807e-01,1.092184e-01,1.000000e-03
Best model saved at epoch,2,with test_l2,1.092184e-01
3,2.43,5.268061e-07,1.020570e-01,1.015909e-01,1.000000e-03
Best model saved at epoch,3,with test_l2,1.015909e-01
4,2.44,4.724616e-07,9.609051e-02,9.612693e-02,1.000000e-03
Best model saved at epoch,4,with test_l2,9.612693e-02
5,2.43,4.482942e-07,9.325703e-02,9.298946e-02,1.000000e-03
Best model saved at epoch,5,with test_l2,9.298946e-02
6,2.43,3.822932e-07,8.619923e-02,8.661147e-02,1.000000e-03
Best model saved at epoch,6,with test_l2,8.661147e-02
7,2.43,3.850071e-07,8.606448e-02,8.757923e-02,1.000000e-03
8,2.42,3.409599e-07,8.112538e-02,7.749403e-02,1.000000e-03
Best model saved at epoch,8,with test_l2,7.749403e-02
9,2.43,2.937670e-07,7.574466e-02,7.506719e-02,1.000000e-03
Best model saved at epoch,9,with test_l2,7.506719e-02
10,2.42,2.856751e-07,7.464191e-02,7.646343e-02,1.000000e-03
11,2.42,2.590389e-07,7.106165e-02,7.065333e-02,1.000000e-03
Best model saved at epoch,11,with test_l2,7.065333e-02
12,2.42,2.563183e-07,7.062513e-02,6.936815e-02,1.000000e-03
Best model saved at epoch,12,with test_l2,6.936815e-02
13,2.42,2.448543e-07,6.885562e-02,6.602765e-02,1.000000e-03
Best model saved at epoch,13,with test_l2,6.602765e-02
14,2.43,2.190308e-07,6.517398e-02,6.477815e-02,1.000000e-03
Best model saved at epoch,14,with test_l2,6.477815e-02
15,2.43,2.304757e-07,6.681455e-02,6.376569e-02,1.000000e-03
Best model saved at epoch,15,with test_l2,6.376569e-02
16,2.44,2.070841e-07,6.334006e-02,6.321061e-02,1.000000e-03
Best model saved at epoch,16,with test_l2,6.321061e-02
17,2.45,2.033159e-07,6.290972e-02,7.630817e-02,1.000000e-03
18,2.45,2.064360e-07,6.288647e-02,6.032125e-02,1.000000e-03
Best model saved at epoch,18,with test_l2,6.032125e-02
19,2.45,1.760702e-07,5.854081e-02,6.571422e-02,1.000000e-03
20,2.43,1.798993e-07,5.897808e-02,5.821208e-02,1.000000e-03
Best model saved at epoch,20,with test_l2,5.821208e-02
21,2.42,1.768255e-07,5.853219e-02,5.724693e-02,1.000000e-03
Best model saved at epoch,21,with test_l2,5.724693e-02
22,2.43,1.626646e-07,5.641414e-02,5.693901e-02,1.000000e-03
Best model saved at epoch,22,with test_l2,5.693901e-02
23,2.42,1.630658e-07,5.635318e-02,5.727797e-02,1.000000e-03
24,2.42,1.701767e-07,5.748255e-02,5.731371e-02,1.000000e-03
25,2.42,1.530339e-07,5.467677e-02,5.581717e-02,1.000000e-03
Best model saved at epoch,25,with test_l2,5.581717e-02
26,2.43,1.536663e-07,5.471888e-02,5.584399e-02,1.000000e-03
27,2.43,1.532079e-07,5.438106e-02,5.277081e-02,1.000000e-03
Best model saved at epoch,27,with test_l2,5.277081e-02
28,2.48,1.566303e-07,5.529176e-02,5.519791e-02,1.000000e-03
29,2.46,1.434130e-07,5.285202e-02,5.184488e-02,1.000000e-03
Best model saved at epoch,29,with test_l2,5.184488e-02
30,2.46,1.304338e-07,5.053025e-02,5.267113e-02,1.000000e-03
31,2.47,1.401587e-07,5.213798e-02,5.036965e-02,1.000000e-03
Best model saved at epoch,31,with test_l2,5.036965e-02
32,2.45,1.323049e-07,5.077633e-02,4.925785e-02,1.000000e-03
Best model saved at epoch,32,with test_l2,4.925785e-02
33,2.46,1.261503e-07,4.968452e-02,5.218767e-02,1.000000e-03
34,2.48,1.257389e-07,4.964479e-02,4.878729e-02,1.000000e-03
Best model saved at epoch,34,with test_l2,4.878729e-02
35,2.47,1.565407e-07,5.485683e-02,6.910877e-02,1.000000e-03
36,2.51,1.319279e-07,5.078687e-02,4.866988e-02,1.000000e-03
Best model saved at epoch,36,with test_l2,4.866988e-02
37,2.45,1.245657e-07,4.917760e-02,5.306009e-02,1.000000e-03
38,2.44,1.240991e-07,4.926073e-02,4.760215e-02,1.000000e-03
Best model saved at epoch,38,with test_l2,4.760215e-02
39,2.43,1.190102e-07,4.826394e-02,4.663294e-02,1.000000e-03
Best model saved at epoch,39,with test_l2,4.663294e-02
40,2.43,1.089020e-07,4.625350e-02,4.538169e-02,1.000000e-03
Best model saved at epoch,40,with test_l2,4.538169e-02
41,2.43,1.036868e-07,4.524617e-02,5.193873e-02,1.000000e-03
42,2.44,1.137947e-07,4.715829e-02,4.460231e-02,1.000000e-03
Best model saved at epoch,42,with test_l2,4.460231e-02
43,2.43,1.002962e-07,4.435828e-02,4.557481e-02,1.000000e-03
44,2.43,9.747216e-08,4.388944e-02,4.453818e-02,1.000000e-03
Best model saved at epoch,44,with test_l2,4.453818e-02
45,2.42,1.123559e-07,4.714292e-02,4.493812e-02,1.000000e-03
46,2.43,1.054647e-07,4.531578e-02,4.543103e-02,1.000000e-03
47,2.43,1.069669e-07,4.594993e-02,4.237066e-02,1.000000e-03
Best model saved at epoch,47,with test_l2,4.237066e-02
48,2.42,1.018414e-07,4.437797e-02,4.228472e-02,1.000000e-03
Best model saved at epoch,48,with test_l2,4.228472e-02
49,2.43,9.246483e-08,4.260033e-02,4.317039e-02,1.000000e-03
50,2.43,9.014389e-08,4.228386e-02,5.227341e-02,1.000000e-03
51,2.42,9.403549e-08,4.316515e-02,4.065045e-02,1.000000e-03
