epoch,time,train_mse,train_l2,test_l2,learning_rate
0,1.36,0.096869,0.534054,0.252773,0.001000
Best model saved at epoch,0,with test_l2,0.252773
1,1.08,0.010096,0.212959,0.169821,0.001000
Best model saved at epoch,1,with test_l2,0.169821
2,1.08,0.004869,0.139717,0.123974,0.001000
Best model saved at epoch,2,with test_l2,0.123974
3,1.09,0.002842,0.108738,0.090442,0.001000
Best model saved at epoch,3,with test_l2,0.090442
4,1.09,0.001974,0.089777,0.086311,0.001000
Best model saved at epoch,4,with test_l2,0.086311
5,1.10,0.001748,0.083392,0.069795,0.001000
Best model saved at epoch,5,with test_l2,0.069795
6,1.08,0.001127,0.067575,0.060681,0.001000
Best model saved at epoch,6,with test_l2,0.060681
7,1.07,0.000914,0.061389,0.055277,0.001000
Best model saved at epoch,7,with test_l2,0.055277
8,1.10,0.000787,0.056057,0.054956,0.001000
Best model saved at epoch,8,with test_l2,0.054956
9,1.01,0.000857,0.057250,0.060314,0.001000
10,1.08,0.000786,0.053345,0.050539,0.001000
Best model saved at epoch,10,with test_l2,0.050539
11,0.91,0.000866,0.057122,0.045692,0.001000
Best model saved at epoch,11,with test_l2,0.045692
12,0.91,0.000499,0.043489,0.036598,0.001000
Best model saved at epoch,12,with test_l2,0.036598
13,0.91,0.000419,0.038588,0.039552,0.001000
14,1.01,0.000357,0.036365,0.036450,0.001000
Best model saved at epoch,14,with test_l2,0.036450
15,0.94,0.000401,0.037651,0.038794,0.001000
16,0.93,0.000487,0.042084,0.033316,0.001000
Best model saved at epoch,16,with test_l2,0.033316
17,0.93,0.000310,0.034166,0.039192,0.001000
18,0.95,0.000354,0.035139,0.026513,0.001000
Best model saved at epoch,18,with test_l2,0.026513
19,0.94,0.000263,0.030384,0.029047,0.001000
20,0.95,0.000602,0.040327,0.061905,0.001000
21,0.93,0.000754,0.051094,0.036490,0.001000
22,0.92,0.000469,0.041250,0.045095,0.001000
23,0.94,0.000220,0.029086,0.025394,0.001000
Best model saved at epoch,23,with test_l2,0.025394
24,0.93,0.000185,0.026335,0.020424,0.001000
Best model saved at epoch,24,with test_l2,0.020424
25,0.93,0.000129,0.021918,0.019594,0.001000
Best model saved at epoch,25,with test_l2,0.019594
26,0.92,0.000125,0.021297,0.024278,0.001000
27,0.95,0.000120,0.021463,0.019026,0.001000
Best model saved at epoch,27,with test_l2,0.019026
28,0.91,0.000131,0.022455,0.018308,0.001000
Best model saved at epoch,28,with test_l2,0.018308
29,0.92,0.000176,0.024787,0.019597,0.001000
30,0.93,0.000159,0.024464,0.019348,0.001000
31,0.93,0.000119,0.021335,0.020821,0.001000
32,0.93,0.000114,0.021114,0.026464,0.001000
33,0.93,0.000149,0.023362,0.021858,0.001000
34,0.90,0.000099,0.019238,0.023199,0.001000
35,0.77,0.000238,0.029081,0.022057,0.001000
36,0.69,0.000147,0.022926,0.017461,0.001000
Best model saved at epoch,36,with test_l2,0.017461
37,0.67,0.000197,0.026894,0.025257,0.001000
38,0.67,0.000154,0.024472,0.021524,0.001000
39,0.66,0.000117,0.021150,0.015690,0.001000
Best model saved at epoch,39,with test_l2,0.015690
40,0.67,0.000138,0.021856,0.019704,0.001000
41,0.66,0.000099,0.019315,0.016635,0.001000
42,0.65,0.000068,0.015995,0.014661,0.001000
Best model saved at epoch,42,with test_l2,0.014661
43,0.67,0.000058,0.014884,0.014873,0.001000
44,0.67,0.000056,0.015163,0.020717,0.001000
45,0.90,0.000070,0.016609,0.016916,0.001000
46,0.91,0.000076,0.017119,0.033421,0.001000
47,0.93,0.000220,0.027370,0.017868,0.001000
48,0.94,0.000086,0.018300,0.016884,0.001000
49,0.94,0.000069,0.016308,0.013852,0.001000
Best model saved at epoch,49,with test_l2,0.013852
50,0.94,0.000092,0.018903,0.014788,0.001000
51,0.93,0.000039,0.012715,0.011950,0.001000
Best model saved at epoch,51,with test_l2,0.011950
52,0.94,0.000118,0.021639,0.023915,0.001000
53,0.93,0.000083,0.017521,0.018229,0.001000
54,0.93,0.000079,0.017051,0.016449,0.001000
55,0.92,0.000055,0.014858,0.016585,0.001000
56,0.94,0.000124,0.020857,0.016280,0.001000
57,0.95,0.000071,0.016415,0.020442,0.001000
58,0.94,0.000068,0.015737,0.012158,0.001000
59,0.95,0.000045,0.013187,0.014286,0.001000
60,0.94,0.000026,0.010397,0.012848,0.001000
61,0.96,0.000056,0.014881,0.020392,0.001000
Early stopping triggered at epoch,61
